Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Liaoning,China,2021-06-23 08:30:48,41.2956,122.6085,426,2,421,3,,0.9772883688919476,,,0.4694835680751174,15619,CHN,,,1,0
Macau,China,2021-06-23 08:30:48,22.1667,113.55,53,0,51,2,,8.16210871928814,,,0.0,446,MAC,,,2,0
Ningxia,China,2021-06-23 08:30:48,37.2692,106.1655,76,0,75,1,,1.1046511627906976,,,0.0,15620,CHN,,,0,0
Qinghai,China,2021-06-23 08:30:48,35.7452,95.9956,18,0,18,0,,0.29850746268656714,,,0.0,15621,CHN,,,0,0
Shaanxi,China,2021-06-23 08:30:48,35.1917,108.8701,624,3,609,12,,1.6149068322981366,,,0.4807692307692308,15622,CHN,,,11,0
Shandong,China,2021-06-23 08:30:48,36.3427,118.1498,883,7,875,1,,0.8788693142231512,,,0.7927519818799547,15623,CHN,,,0,0
Shanghai,China,2021-06-23 08:30:48,31.202,121.4491,2190,7,2111,72,,9.034653465346537,,,0.31963470319634696,15624,CHN,,,112,0
Shanxi,China,2021-06-23 08:30:48,37.5777,112.2922,253,0,252,1,,0.6804733727810651,,,0.0,15625,CHN,,,0,0
Sichuan,China,2021-06-23 08:30:48,30.6171,102.7103,1076,3,1032,41,,1.290013187867162,,,0.2788104089219331,15626,CHN,,,58,0
Tianjin,China,2021-06-23 08:30:48,39.3054,117.323,399,3,385,11,,2.5576923076923075,,,0.7518796992481203,15627,CHN,,,6,0
Tibet,China,2021-06-23 08:30:48,31.6927,88.0924,1,0,1,0,,0.02906976744186046,,,0.0,15628,CHN,,,0,0
Unknown,China,2021-06-23 08:30:48,,,0,0,12,-12,,,,,,15699,CHN,,,0,0
Xinjiang,China,2021-06-23 08:30:48,41.1129,85.2401,980,3,977,0,,3.940490550864496,,,0.30612244897959184,15629,CHN,,,0,0
Yunnan,China,2021-06-23 08:30:48,24.974,101.487,391,2,350,39,,0.8095238095238095,,,0.5115089514066496,15630,CHN,,,39,0
Zhejiang,China,2021-06-23 08:30:48,29.1832,120.0934,1383,1,1337,45,,2.410667596304689,,,0.07230657989877079,15631,CHN,,,20,0
Amazonas,Colombia,2021-06-23 08:30:48,-1.4429,-71.5724,6376,243,6097,36,,8324.955280784447,,,3.811166875784191,17001,COL,,,61,3
Antioquia,Colombia,2021-06-23 08:30:48,7.1986,-75.3412,614042,13335,572946,27761,,9583.771258831215,,,2.171675553138059,17002,COL,,,90685,1707
Arauca,Colombia,2021-06-23 08:30:48,7.0762,-70.7105,9661,293,8898,470,,3684.9573184221167,,,3.0328123382672603,17003,COL,,,2267,76
Atlantico,Colombia,2021-06-23 08:30:48,10.6966,-74.8741,285468,8870,273198,3400,,11258.768921683428,,,3.1071783877702583,17004,COL,,,17609,566
Bolivar,Colombia,2021-06-23 08:30:48,8.6704,-74.03,124625,2378,119187,3060,,6020.211486346137,,,1.9081243731193582,17005,COL,,,26821,481
Boyaca,Colombia,2021-06-23 08:30:48,5.4545,-73.362,82986,1913,77266,3807,,6816.792839681413,,,2.3052081073916084,17006,COL,,,19242,413
Caldas,Colombia,2021-06-23 08:30:48,5.2983,-75.2479,84623,1729,79616,3278,,8477.092526458671,,,2.04317975018612,17007,COL,,,15859,304
Capital District,Colombia,2021-06-23 08:30:48,4.711,-74.0721,1173051,22270,1069079,81702,,15825.167694965547,,,1.898468182542788,17008,COL,,,256948,4049
Caqueta,Colombia,2021-06-23 08:30:48,0.8699,-73.8419,19661,741,18501,419,,4897.020839923385,,,3.7688825593815167,17009,COL,,,1542,69
Casanare,Colombia,2021-06-23 08:30:48,5.7589,-71.5724,27136,662,24771,1703,,6453.208530715522,,,2.4395636792452833,17010,COL,,,7735,220
Cauca,Colombia,2021-06-23 08:30:48,2.705,-76.82600000000002,38908,1053,36320,1535,,2656.764684995712,,,2.7063842911483498,17011,COL,,,5729,163
Cesar,Colombia,2021-06-23 08:30:48,9.3373,-73.6536,77194,2092,72707,2395,,6429.75776586866,,,2.710055185636189,17012,COL,,,11672,322
Choco,Colombia,2021-06-23 08:30:48,5.2528,-76.82600000000002,13627,335,12907,385,,2547.931476779364,,,2.4583547369193512,17013,COL,,,2829,60
Cordoba,Colombia,2021-06-23 08:30:48,8.0493,-75.574,75062,2859,69130,3073,,4205.66533858738,,,3.8088513495510377,17014,COL,,,13695,415
Cundinamarca,Colombia,2021-06-23 08:30:48,5.026,-74.03,207205,5339,194059,7807,,7098.346728056292,,,2.576675273280085,17015,COL,,,53059,1113
Guainia,Colombia,2021-06-23 08:30:48,2.5854,-68.5247,2029,23,1949,57,,4217.067797314711,,,1.1335633316904878,17016,COL,,,350,1
Guaviare,Colombia,2021-06-23 08:30:48,1.0654,-73.2603,4058,69,3861,128,,4902.920245991761,,,1.700344997535732,17017,COL,,,1232,27
Huila,Colombia,2021-06-23 08:30:48,2.5359,-75.5277,67617,2278,62924,2415,,6144.843718476972,,,3.3689752577014658,17018,COL,,,10147,283
La Guajira,Colombia,2021-06-23 08:30:48,11.3548,-72.5205,38698,1221,36787,690,,4394.703370582357,,,3.1552018192154634,17019,COL,,,3253,103
Magdalena,Colombia,2021-06-23 08:30:48,10.4113,-74.4057,77475,2883,72612,1980,,5774.192730963983,,,3.721200387221685,17020,COL,,,9149,292
Meta,Colombia,2021-06-23 08:30:48,3.272,-73.0877,66017,1561,62287,2169,,6349.485727915731,,,2.364542466334429,17021,COL,,,15007,362
Narino,Colombia,2021-06-23 08:30:48,1.2892,-77.3579,73638,2480,67992,3166,,4516.028534421855,,,3.3678263939813684,17022,COL,,,12502,477
Norte de Santander,Colombia,2021-06-23 08:30:48,7.9463,-72.8988,70768,3362,64708,2698,,4744.152433918866,,,4.7507347953877455,17023,COL,,,11012,369
Putumayo,Colombia,2021-06-23 08:30:48,0.436,-75.5277,13165,552,12210,403,,3781.0685216352367,,,4.192935814660085,17024,COL,,,1491,83
Quindio,Colombia,2021-06-23 08:30:48,4.461,-75.6674,47461,1424,45149,888,,8790.636853959222,,,3.0003581888287227,17025,COL,,,4362,129
Risaralda,Colombia,2021-06-23 08:30:48,5.3158,-75.9928,71726,1756,67277,2693,,7602.917529237302,,,2.4482056715835263,17026,COL,,,10278,202
San Andres y Providencia,Colombia,2021-06-23 08:30:48,12.5567,-81.7185,6184,122,5965,97,,10091.383812010445,,,1.9728331177231568,17027,COL,,,931,41
Santander,Colombia,2021-06-23 08:30:48,6.6437,-73.6536,175717,5592,161687,8438,,8042.567935273891,,,3.1823898655224023,17028,COL,,,49175,1265
Sucre,Colombia,2021-06-23 08:30:48,8.814,-74.7233,44890,1301,41557,2032,,4960.971992445267,,,2.898195589218089,17029,COL,,,11178,173
Tolima,Colombia,2021-06-23 08:30:48,4.0925,-75.1545,85683,2760,80856,2067,,6441.425153004803,,,3.2211757291411365,17030,COL,,,11508,361
Unknown,Colombia,2021-06-23 08:30:48,,,0,0,1,,,,,,,17034,COL,,,0,0
Valle del Cauca,Colombia,2021-06-23 08:30:48,3.8009,-76.6413,308227,9755,288588,9884,,6886.390761516267,,,3.1648752380550698,17031,COL,,,48287,1495
Vaupes,Colombia,2021-06-23 08:30:48,0.8554,-70.812,1664,15,1633,16,,4078.73127926073,,,0.9014423076923076,17032,COL,,,166,1
Vichada,Colombia,2021-06-23 08:30:48,4.4234,-69.2878,2379,36,2237,106,,2206.700801424755,,,1.5132408575031526,17033,COL,,,626,11
Faroe Islands,Denmark,2021-06-23 08:30:48,61.8926,-6.9118,718,1,671,46,,1469.3543435997135,,,0.1392757660167131,234,FRO,,,75,0
Greenland,Denmark,2021-06-23 08:30:48,71.7069,-42.6043,40,0,33,7,,70.45726766715987,,,0.0,304,GRL,,,16,0
French Guiana,France,2021-06-23 08:30:48,4.0,-53.0,24036,116,9995,13925,,8047.35471170007,,,0.4826094192045266,254,GUF,,,3546,29
French Polynesia,France,2021-06-23 08:30:48,-17.6797,-149.4068,18870,142,18711,17,,6717.597471022129,,,0.7525172231054584,258,PYF,,,137,1
Guadeloupe,France,2021-06-23 08:30:48,16.265,-61.551,16874,255,2250,14369,,4217.161051366191,,,1.5112006637430366,312,GLP,,,910,11
Martinique,France,2021-06-23 08:30:48,14.6415,-61.0242,11979,95,98,11786,,3192.1442180858858,,,0.7930545120627766,474,MTQ,,,410,6
Mayotte,France,2021-06-23 08:30:48,-12.8275,45.166244,20176,173,2964,17039,,7395.542001297592,,,0.8574544012688342,175,MYT,,,-787,3
New Caledonia,France,2021-06-23 08:30:48,-20.904305,165.618042,128,0,58,70,,44.83503858265234,,,0.0,540,NCL,,,3,0
Reunion,France,2021-06-23 08:30:48,-21.1151,55.5364,24901,189,22796,1916,,2781.277504501244,,,0.7590056624231959,638,REU,,,4875,44
Saint Barthelemy,France,2021-06-23 08:30:48,17.9,-62.8333,1023,1,462,560,,10349.013657056146,,,0.09775171065493646,652,BLM,,,0,0
Saint Pierre and Miquelon,France,2021-06-23 08:30:48,46.8852,-56.3159,25,0,25,0,,431.40638481449525,,,0.0,666,SPM,,,1,0
St Martin,France,2021-06-23 08:30:48,18.0708,-63.0501,1915,12,1399,504,,4953.568379937401,,,0.6266318537859008,663,MAF,,,218,0
Wallis and Futuna,France,2021-06-23 08:30:48,-14.2938,-178.1165,454,7,438,9,,2969.4551638432863,,,1.5418502202643172,876,WLF,,,0,0
Baden-Wurttemberg,Germany,2021-06-23 08:30:48,48.6616,9.3501,499927,10176,485800,3951,,4516.242916480758,,,2.0354971825886583,27601,DEU,,,11590,300
Bayern,Germany,2021-06-23 08:30:48,48.7904,11.4979,646880,15213,628000,3667,,4946.805854464586,,,2.3517499381647293,27602,DEU,,,11639,348
Berlin,Germany,2021-06-23 08:30:48,52.52,13.405,179990,3547,175500,943,,4938.232991094774,,,1.9706650369464969,27603,DEU,,,2454,93
Brandenburg,Germany,2021-06-23 08:30:48,52.4125,12.5316,108643,3790,104500,353,,4325.103098549833,,,3.4884898244709737,27604,DEU,,,820,83
Bremen,Germany,2021-06-23 08:30:48,53.0793,8.8017,27406,483,26750,173,,4012.673759052162,,,1.7623877982923448,27605,DEU,,,506,11
Hamburg,Germany,2021-06-23 08:30:48,53.5511,9.9937,77156,1588,74900,668,,4190.575712627615,,,2.058167867696614,27606,DEU,,,1296,43
Hessen,Germany,2021-06-23 08:30:48,50.6521,9.1624,290345,7494,280200,2651,,4633.799083246872,,,2.581067350910124,27607,DEU,,,6226,259
Mecklenburg-Vorpommern,Germany,2021-06-23 08:30:48,53.6127,12.4296,44117,1149,42910,58,,2740.739590289965,,,2.60443819842691,27608,DEU,,,495,36
Niedersachsen,Germany,2021-06-23 08:30:48,52.6367,9.8451,260752,5740,254000,1012,,3266.5668476637743,,,2.201325397312389,27609,DEU,,,4412,168
Nordrhein-Westfalen,Germany,2021-06-23 08:30:48,51.4332,7.6616,815130,17083,791600,6447,,4545.507521447888,,,2.0957393299228344,27610,DEU,,,15840,522
Rheinland-Pfalz,Germany,2021-06-23 08:30:48,50.1183,7.309,154975,3874,150200,901,,3793.902533364799,,,2.499758025487982,27611,DEU,,,3324,165
Saarland,Germany,2021-06-23 08:30:48,49.3964,7.023,41405,1019,40100,286,,4180.174031735199,,,2.461055428088395,27612,DEU,,,926,22
Sachsen,Germany,2021-06-23 08:30:48,51.1045,13.2017,285729,10040,274100,1589,,7006.7046155936205,,,3.5138190383195265,27613,DEU,,,3691,456
Sachsen-Anhalt,Germany,2021-06-23 08:30:48,51.9503,11.6923,99228,3421,95210,597,,4493.368491265536,,,3.4476155923731207,27614,DEU,,,1353,123
